"osm_id","timestamp","name","type"
"445893304","","???? ???","bar"
"459668824","","","bar"
"459673413","","","bar"
"892589441","","","bar"
"908273280","","???? ????? ??","bar"
"1562023466","","??????","bar"
"1851476158","","Club Colloseum","bar"
"1858969938","","","bar"
"-1471936900","","????-???","bar"
"-1412848063","","???????? Be Happy","bar"
"-1412314205","","???????? ???? ??","bar"
"-1412314204","","???????? ???????","bar"
"-1412314199","","???????? ????????","bar"
"-1412314198","","???????? ??????","bar"
"-1193241257","","Rakija Bar","bar"
"-646252812","","???? ???","bar"
"63702100","","samocod","bar"
"80546594","","????? ????","bar"
"91730195","","tavce gravce","bar"
"91796593","","beer cafe","bar"
"415564486","","Bar Reka","bar"
"461361335","","GastrotecaSiesta","bar"
"499077331","","Speakeasy","bar"
"586358197","","Minus Eden","bar"
"815752936","","Syri","bar"
"834242328","","# hash bar","bar"
"989254001","","Kaldrma","bar"
"989254003","","Van Gogh","bar"
"1008980982","","Hazard Club","bar"
"1029119950","","Tesla Bar","bar"
"1044804725","","Centar Bar","bar"
"1107695939","","Coffeelix","bar"
"1189741181","","Thirio","bar"
"1364351500","","Radio bar","bar"
"1464446749","","Bar","bar"
"1512782755","","","bar"
"1568918390","","?? ?????","bar"
"1613900489","","","bar"
"1759065614","","","bar"
"1759081410","","","bar"
"1759082494","","","bar"
"2132035189","","","bar"
"-2123184973","","Mr. Jack","bar"
"-1991121730","","Tiamo","bar"
"-1779680107","","Three Kitchen Bar","bar"
"-1777267784","","Distrikt","bar"
"-1774003207","","Nano","bar"
"-1619786605","","???? ? ???? ?????","bar"
"-1562858607","","12-12 ???????? ????????","bar"
"-1444259962","","Marvel Coffee Bar","bar"
"-767864270","","by the way","bar"
