"osm_id","timestamp","name","type"
"310289760","","???? ????","cafe"
"411008299","","Benneton","cafe"
"411008532","","AMG","cafe"
"411009859","","?????","cafe"
"441057694","","Cafeteria","cafe"
"459666031","","","cafe"
"459670767","","Caffe Skopje","cafe"
"459670779","","?????? ???","cafe"
"459670881","","???? ????","cafe"
"459672751","","","cafe"
"459673240","","9","cafe"
"459752642","","","cafe"
"459801246","","???????","cafe"
"459802458","","??????","cafe"
"1355292490","","???? ?????","cafe"
"1355306911","","???? ???????","cafe"
"1475388233","","","cafe"
"1615830879","","Fluid","cafe"
"1752184797","","??","cafe"
"1850511008","","Royal","cafe"
"1850511013","","????","cafe"
"1851476126","","Red Caffe","cafe"
"1868776879","","","cafe"
"1876583691","","???? ?????","cafe"
"1876584011","","???? ?????","cafe"
"2004975256","","","cafe"
"2054895230","","Up Cafe","cafe"
"-2018468467","","","cafe"
"-1996912502","","Badu","cafe"
"-1755386289","","Quatro Caffe","cafe"
"-1755385789","","Bass Cafe","cafe"
"-1480421919","","??????","cafe"
"-1480421918","","DRAMA coffee house Makedonija 41","cafe"
"-1411089402","","?????","cafe"
"-1302375467","","Cafe Old Bazaar","cafe"
"-1193241917","","Old Town","cafe"
"-1193241259","","Nargile Cafe","cafe"
"-1190982292","","Telekom Trend Lounge Bar","cafe"
"-953677544","","Bistro Skopje","cafe"
"-953677543","","Gnezdo","cafe"
"-953677510","","Caffe Novo","cafe"
"-953677508","","Caffe Bar Dolce Vita","cafe"
"-953677506","","Corsso","cafe"
"-788271203","","Trend Food Bar","cafe"
"-631199305","","The Gallery","cafe"
"-631199304","","MonAmi","cafe"
"-631199302","","????? ???? ???","cafe"
"-631199301","","Cafe Bela","cafe"
"-544184142","","","cafe"
"-539434321","","???????37","cafe"
"-462600399","","","cafe"
"-235060141","","????????","cafe"
"-96023207","","Ch2pter","cafe"
"-69518607","","Tonnis Bakeri","cafe"
"-66138936","","Coffeeshop Company lounge","cafe"
"-61772605","","Makreshanki","cafe"
"-60822606","","Belier","cafe"
"-47740302","","Juicy and Co","cafe"
"9484006","","Clique Bar","cafe"
"32954024","","Prikazna","cafe"
"64866593","","","cafe"
"80552193","","??? ????","cafe"
"216048947","","??????","cafe"
"221060095","","","cafe"
"363256195","","??? ???????","cafe"
"551736949","","????","cafe"
"691343825","","","cafe"
"767482725","","Te Flladi","cafe"
"815752935","","????","cafe"
"881281691","","???","cafe"
"989254000","","Laika","cafe"
"993555126","","?? ???","cafe"
"997163538","","63","cafe"
"1003139838","","Insomnia Gaming Club","internet_cafe"
"1038616092","","Giovani","cafe"
"1051968331","","","cafe"
"1239835726","","??????","cafe"
"1309215624","","?????","cafe"
"1327243458","","??????? ????","cafe"
"1395173142","","DejaVu","cafe"
"1395173364","","Istanbul","cafe"
"1418746926","","AvAv Dog Park","cafe"
"1480063157","","","cafe"
"1546729660","","","cafe"
"1546876267","","Fresh","cafe"
"1564266689","","Kandi","cafe"
"1723309989","","","cafe"
"1723310189","","","cafe"
"1737897989","","k8","cafe"
"1759052998","","","cafe"
"1759065616","","","cafe"
"1759068329","","","cafe"
"1759068915","","","cafe"
"1759068916","","","cafe"
"1759081196","","","cafe"
"1759081204","","","cafe"
"1759081205","","","cafe"
"1759081430","","Paladin M","cafe"
"1759081434","","Woodstock","cafe"
"1759082517","","","cafe"
"1759082799","","","cafe"
"1794744483","","Led Zeppelin","cafe"
"1850414459","","Sugarland","cafe"
"1933039888","","Krem","cafe"
"2012098757","","fourplay","cafe"
"2079745275","","Joy Caf? & Bakery","cafe"
"-2138482807","","Coffee O'Clock","cafe"
"-2012047107","","?????365?????","cafe"
"-1909654580","","Boomerang Shisha","cafe"
"-1787904780","","Home Brews (very good coffee!)","cafe"
"-1775702800","","Urban","cafe"
"-1775687902","","","cafe"
"-1775687869","","Bomonti","cafe"
"-1774499904","","Toto","cafe"
"-1774374704","","Shakespeare Cafe","cafe"
"-1774008607","","Juicy&co","cafe"
"-1774003305","","Saphir","cafe"
"-1774003201","","Majahh","cafe"
"-1768776206","","Kairo","cafe"
"-1768776204","","Stay you","cafe"
"-1768776203","","JJ&S","cafe"
"-1768775906","","Mulliri","cafe"
"-1768775897","","MIG","cafe"
"-1762901860","","Gallery 7","cafe"
"-1762862498","","","cafe"
"-1762860582","","Sultan Kejf","cafe"
"-1710819405","","","cafe"
"-1622648907","","","cafe"
"-1470220007","","???????","cafe"
"-1450932542","","???? ?????????????","cafe"
