"osm_id","timestamp","name","type"
"310348048","","??? ???","fast_food"
"470916907","","???? ???","fast_food"
"918590533","","four seasons","fast_food"
"933634409","","Fast food 7","fast_food"
"1355336585","","?????????? ????","fast_food"
"1381654588","","????????","fast_food"
"1475388229","","","fast_food"
"1475388239","","","fast_food"
"1475388240","","","fast_food"
"1475404531","","????","fast_food"
"1477313388","","","fast_food"
"1477313456","","","fast_food"
"1822907697","","?????????? ????? ??????","fast_food"
"1866179709","","Pizza FRESKO","fast_food"
"1870054369","","????","fast_food"
"2004962771","","????","fast_food"
"-1822634746","","Go Get Burger","fast_food"
"-1436652032","","DM Restaurant","fast_food"
"-1411089396","","?????????? ????? ????","fast_food"
"-1407391438","","?????????? ????","fast_food"
"-990448020","","????????","fast_food"
"-810866913","","","fast_food"
"-810866101","","MFC - Macedonian Fried Chicken","fast_food"
"-800390247","","Burger King","fast_food"
"-671419771","","Burger Friends","fast_food"
"-631175474","","Royal Burger","fast_food"
"-462600400","","","fast_food"
"-107690607","","????","fast_food"
"-104073707","","???????","fast_food"
"60286005","","?????????? ????","fast_food"
"99835295","","7","fast_food"
"161546785","","Gyroland","fast_food"
"278237712","","Tripod King","fast_food"
"278237714","","??????","fast_food"
"299465048","","?? ??????","fast_food"
"355573097","","Ketering Vkusno","fast_food"
"363274794","","","fast_food"
"439506105","","Burek","fast_food"
"691343725","","","fast_food"
"745689826","","","fast_food"
"746768325","","Chicken House","fast_food"
"836850191","","Domino's Pizza","fast_food"
"909197527","","Royal Burger","fast_food"
"994739264","","Burger King","fast_food"
"997156036","","Fatness house","fast_food"
"997163553","","American best burger","fast_food"
"1004980251","","Foodio","fast_food"
"1036128582","","Etna","fast_food"
"1038351081","","???? ??????","fast_food"
"1136440340","","Magic","fast_food"
"1365235158","","Dogs bar","fast_food"
"1392596591","","BubbleWaffle's","fast_food"
"1487933458","","???????? ?????","fast_food"
"1574051310","","?????? ????????? ???","fast_food"
"1673312592","","","fast_food"
"1759068911","","","fast_food"
"1759081200","","","fast_food"
"1759081202","","","fast_food"
"1759081211","","","fast_food"
"1759081396","","Cafe Pauza","fast_food"
"1759081397","","","fast_food"
"1759081432","","","fast_food"
"1759082492","","","fast_food"
"1759082518","","","fast_food"
"1759082798","","","fast_food"
"1869787832","","Spizzicotto","fast_food"
"1869787833","","Bon Appetit","fast_food"
"1996374479","","","fast_food"
"-1985153006","","?? ????","fast_food"
"-1957132607","","La Puerta","fast_food"
"-1878138535","","","fast_food"
"-1793498406","","","fast_food"
"-1778312007","","Engin Cigk?fte (vegetarian)","fast_food"
"-1775702893","","Proper pizza","fast_food"
"-1775697991","","Cardak","fast_food"
"-1775697987","","Tetekis","fast_food"
"-1775687879","","Doner","fast_food"
"-1775687873","","Turkish Doner","fast_food"
"-1775687307","","Hamza Doner","fast_food"
"-1774499902","","?????","fast_food"
"-1774499306","","","fast_food"
"-1774480007","","","fast_food"
"-1774003405","","B?rger King","fast_food"
"-1759392306","","","fast_food"
"-1080996507","","????? ??????","fast_food"
"-1061697204","","Per te","fast_food"
