"osm_id","timestamp","name","type"
"309875534","","????? ??? ??. ??????","pub"
"553425017","","London Pub","pub"
"1355330790","","???? ???? ??????","pub"
"1747462360","","?????","pub"
"1935491365","","????? ????","pub"
"-1599574936","","Casa Cubana","pub"
"-867578594","","???????? ????????","pub"
"-867575678","","?????","pub"
"-168235839","","Lounge Bar Divan","pub"
"32954023","","","pub"
"299465047","","??? ???","pub"
"299465050","","????????","pub"
"544182159","","????????","pub"
"798476819","","Piazza Liberta","pub"
"965448661","","??? ?????","pub"
"994644670","","Pub","pub"
"1264066250","","Lounge Bar Divan","pub"
"1606770295","","","pub"
"1606785090","","","pub"
"1606785191","","","pub"
"-1774003107","","Stobi Winery","pub"
"-1651850007","","","pub"
