osm_id,name,type
"16673142",,
"16766223",Универзална Сала,civic
"28212242",Хотел „Александар Палас“,hotel
"28212338",Базен Карпош,civic
"28212841",ТЦ Рамстор,retail
"28212854",Деловен центар „Соравија,commercial
"28212860",Holiday Inn Skopje,hotel
"28212898",Сити галери,
"28214683",Собрание на Република Мак,public
"32299002",Неуромедика,hospital
"32463285",SP Planet,
"32463296",Post Office,
"32490009",Македонска пошта,office
"32490361",Веро 2,retail
"32530189",СП Маркет Тафталиџе,retail
"32530219",Архив на град Скопје,library
"32530316",Тинекс маркет,shop
"32530510",Град Скопје,townhall
"32653114",Тутунска Банка,commercial
"32659471",Канал 5,studio
"32659963",,
"32659970",Офтамолошки ласерски цент,clinic
"32659973",,
"32660022",,
"32660036",,
"32660039",,
"32660055",,
"32660084",,
"32660088",,
"32660529",,
"32660532",,
"32660542",,
"32660558",,
"32660561",,
"32660568",,
"32660586",,
"32660589",,
"32660593",,residential
"32660597",,residential
"32660599",,residential
"32660604",,
"32660618",,
"32674255",Конструкта,office
"32674263",Vegera,industrial
"32674268",,
"32674289",,
"32674297",,
"32674303",,
"32674315",,
"32674321",,
"32674336",,
"32674343",,
"32674402",Македонска куќа,restaurant
"32674425",,apartments
"32674437",,apartments
"32674448",,apartments
"32674453",,apartments
"32674459",,apartments
"32674465",,apartments
"32674472",,apartments
"32674473",,apartments
"32674481",,apartments
"32674501",,
"32674503",,
"32674838",,apartments
"32674867",,apartments
"32674881",,
"32674888",,
"32674896",,
"32674967",,apartments
"32674973",,apartments
"32675024",,apartments
"32675272",,
"32677064",,apartments
"32687759",Кардиологија,hospital
"32687766",Хирургија,hospital
"32687771",Гинекологија,hospital
"32687778",Онкологија,hospital
"32687784",Клинички центар - Педијатр,hospital
"32687828",Интерна медицина,hospital
"32687849",Судска медицина,hospital
"32687851",Клинички центар - Патофизи,hospital
"32687855",Клинички центар - Инфектив,hospital
"32687972",Стоматологија,hospital
"32687974",Клинички центар - Невролог,hospital
"32688702",Трговски Центар Буњаковец,retail
"32688908",Дом на АРМ,theatre
"32689267",Зелен пазар,commercial
"32689386",,
"32689392",,
"32754782",,
"32782846",,
"32782886",,
"32812963",Музеј на Македонија,public
"32813184",,
"32854550",Македонска опера и балет,civic
"32854672",Hotel Stone Bridge,hotel
"32855069",Св. Димитриј,church
"32855114",,
"32855407",Влада на  Македонија,public
"32886132",Park Hotel & Spa,hotel
"32886928",,
"32886950",,
"32886991",,
"32887033",,
"32887057",Царинска управа на Македо,
"32887066",,
"32887087",Музеј на современата умет,arts_centre
"32887364",,
"32888277",,
"32888283",,
"32888298",,
"32888305",,
"32888343",,apartments
"32888348",,apartments
"32888395",,
"32888398",,
"32888441",,
"32888456",,
"32888461",,
"32888479",,
"32888514",Сидро,restaurant
"32888521",,
"32888532",,
"32899518",,
"32899558",,
"32899632",,
"32899694",Granit,office
"32899796",,
"32899864",,
"32899877",,
"32899879",,
"32899906",МЗ Влае 1,
"32899942",,
"32899953",,residential
"32899960",,
"32899971",,
"32899977",,
"32899979",,
"32899983",,
"32899995",,
"32900000",,
"32900012",,
"32900013",,
"32900066",,
"32912505",Театар Комедија,civic
"32912613",Европски уиверзитет,university
"33048458",ОУ „Кочо Рацин“,school
"33048469",,
"33113749",Управа за хидрометеоролош,public
"33171762",,
"34159509",Cosmofon MTX,
"34159646",Поликлиника Јане Санданск,hospital
"34321470",Младински Културен Центар,civic
"34321708",Правен факултет „Јустини,university
"34321726",Економски факултет,university
"34321749",Филозофски факултет,university
"34321766",Ректорат,university
"35540872",,
"35541307",ТЦ Мавровка,retail
"35541790",,
"35541926",,
"35541939",,
"35541940",,
"35541953",,
"35541958",,
"35541964",,
"35819545",,
"35819761",,
"35819781",,
"35821830",,
"35821840",,
"35821853",,
"35821855",,
"35821860",,
"35821909",,
"35821916",,
"35822062",,
"35822117",,
"35829314",Факултет за електротехник,university
"35829344",Факултет за информатички,university
"35834163",,
"35867836",Национална и универзитетс,civic
"35867880",,school
"35867931",Македонска Радио Телевизи,commercial
"35867986",,police
"35868192",,
"35996507",Турски Театар,arts_centre
"36610901",MakSistemi,
"36610906",Трговски Центар Хиподром,
"36610958",,
"37618430",,
"37618432",,
"37618433",LTH Skopje,
"37618434",,
"37618435",,
"37626720",,
"37626721",,
"37626722",,
"37626723",,
"37626724",,
"37626725",Машински Факултет,university
"37766953",,
"37766954","Здравствена Станица ""Маџа",hospital
"37766959",Kino Madžari,
"37766990",,post_office
"37878274",,
"37901984",,
"37907928",,
"37907929",,
"37907930",,
"37908682",Охридска Банка,commercial
"37912123",Спортска Сала Автокоманда,
"37963900",ТЦ.Капиштец,
"37963902",Делегација на Европската,embassy
"37963904",,apartments
"37964553",,
"37964557",Станица за технички прегл,vehicle_inspecti
"37964963",Зебра,retail
"37974115",,apartments
"37977769",Super Tinex,retail
"37977772",DelCo Macedonia,office
"37977773",,
"37977774",,
"37977775",,
"37977905",,
"37977906",,
"37977907",,
"37977912",,
"37995042",,
"37995043",,
"37995050",,
"37995052",,
"37995053",,
"37995058",Агенцијата за вработување,office
"37995059",,
"37995061",,
"37995832",,
"37996988",,
"37996991",,
"37996992",,
"37996994",,
"37996995",,
"37996996",,
"37996997",,
"37996998",Шумарски факултет,university
"37996999",,
"37997000",,
"37997001",,
"37997002",,
"37997003",Боксеркси Клуб - Скопје,
"37997004",,
"37997005",,
"37997006",,
"37997007",,
"37997008",,
"37997009",,
"37997011",НЛБ Тутунска Банка,residential
"37997013",,
"37997014",,
"37997016",,
"37997017",,
"37997207",Пежо,commercial
"37997209",,
"37997210",,
"37997211",,
"37997212",,
"37997213",Seavus Education and Development Centar,school
"37997214",Seavus,
"37997215",,
"37997216",,
"37997609",,
"37997612",,
"37997766",Anhoch,
"37997769",ИЗИИС - Блок 1,
"37997770",Француска амбасада,office
"37997771",Британска амбасада,office
"37997772",ИЗИИС - Блок 4,
"37998632",Институт по белодробни за,hospital
"37998634",,
"37998635",,
"37998636",,
"38001059",,
"38001268",,
"38001269",,
"38001270","Неоком, One, Neotel",
"38001271",,
"38001272",,
"38001273",,
"38001274",,
"38001275",,
"38001277",Фонд за пензиско и инвалид,public
"38001297","Олимписки базен ""Центар""",
"38001869",,apartments
"38001870",,apartments
"38001871",,apartments
"38001872",,
"38001874",,apartments
"38001875",,
"38001876",,
"38001877",,
"38001878",,
"38001879",Law Office ILIEVSKI & JANCEVSKI,apartments
"38001880",,apartments
"38001881",,apartments
"38001882",,apartments
"38001884",,apartments
"38002594",,
"38002595",,
"38002601",,
"38002602",,
"38002603",,
"38002604",,
"38002605",,
"38002606",,
"38002607",,
"38002608",,
"38002609",Три Бисери,
"38002610",,
"38002611",,
"38003194",,
"38003195",,
"38003197",,
"38003209",,
"38003211",,
"38003215",,
"38003218",,
"38003221",,
"38003224",,
"38003227",,
"38003228",,
"38003230",,
"38003235",,
"38003238",,
"38003245",,
"38003248",,
"38003250",,
"38003253",,
"38003256",,
"38003259",,
"38003263",,
"38003266",,
"38003270",,
"38003271",,
"38003574",,
"38003575",,
"38003576",,residential
"38003578",,
"38003579",,
"38003581",,
"38003582",,residential
"38003585",,
"38003587",,
"38004409",,
"38004411",,
"38004413",,
"38004414",,
"38004416",,
"38004418",,
"38004419",,
"38004420",,
"38004421",,
"38004422",,
"38004423",,
"38004424",,
"38004425",,
"38004426",,
"38004427",,
"38004428",,
"38004429",,
"38004430",,
"38004436",,
"38004437",,
"38004438",,
"38004440",,
"38004441",,
"38004442",,
"38004443",,
"38004444",,
"38004445",,
"38004446",,
"38004470",,
"38004471",,
"38004472",,
"38004473",,
"38004474",,
"38004475",,
"38004599",,
"38004600",,
"38004601",,
"38004665",,
"38004666",ПроКредит,
"38004667",,
"38004668",,
"38004669",,
"38006379",DHL,
"38006381",,
"38006382",,
"38006383",,
"38006384",,
"38060210",,
"38060211",,apartments
"38060367",,
"38060368",Млечен ресторан Коки,
"38060369",,
"38081109",,
"38081114",КЈУБИ,
"38081115",,
"38081116",,
"38081117",Економски институт - Скопј,university
"38081361",,apartments
"38081362",,apartments
"38081366",,
"38081369",Алгоритам,roof
"38081653",,apartments
"38082534",Министерство за економија,public
"38082536",,
"38082537",,
"38082538",,
"38082539",,
"38082540",,
"38082541",,
"38082542",,
"38082545",,
"38082546",Рес Хумана ординација,hospital
"38082547",,apartments
"38082549",,residential
"38082550",,apartments
"38082553",,
"38082899",,
"38084105",,
"38084121",,
"38084127",,
"38084128",,
"38085190",,
"38085191",,
"38085208","Anima DOOEL, Skopje",
"38085209",Korni - DPT Skopje Корни - ДПТ Скоп,
"38085210",,
"38085211",LPR mak,
"38085212",,
"38085213",Канапе,
"38085233",Карат,
"38085234",Мако маркет,
"38085235",GEING Krebs und Kiefer International,commercial
"38093016",ЈУ Дом за деца без родител,
"38093018",Орифлеим,
"38093021",,
"38093022",,apartments
"38093023",,apartments
"38093024",,
"38093025",,
"38093026",,
"38093027",Алкотека,apartments
"38093029",,apartments
