osm_id,name,type
"28221187",SEG - Skopje East Gate,construction
"32303578",Фабрика Купром,industrial
"32485348",Реплек,industrial
"32490339",Треска Мебел,industrial
"32490384",Фабрика „Алумина“,construction
"32653249",,village_green
"32657822",Спортски рекреативен цент,recreation_groun
"32661014",,recreation_groun
"32704862",Хиподром,recreation_groun
"32728380",,village_green
"32728460",,village_green
"32784581",,industrial
"32817905",Тутунски Комбинат,industrial
"32885596",Француски гробишта,cemetery
"32899182",Касарна Ѓорче Петров,military
"32899485",,village_green
"32912035",Парк Мајка Тереза,religious
"32973667",,industrial
"32973686",,industrial
"33113689",,farmland
"34159447",Кванташки пазар,industrial
"35829408",Министерство за Одбрана н,military
"36269478",,village_green
"37995827",,construction
"37995830",Макошпед,commercial
"37996986",Комуна,industrial
"38000775",,industrial
"39886419",,village_green
"40827437",,industrial
"40827571",,industrial
"40827573",,industrial
"40827588",,industrial
"40827638",,industrial
"43444611",Алкалоид,industrial
"43444612",Раде Кончар,industrial
"43445202",Стакларница Скопје,industrial
"43676176",Гинеколошко акушерска бол,village_green
"43685259",,industrial
"122970008",Машинопромет,industrial
"123273640",Македонско село,commercial
"130512107",Железара,industrial
"134051692",Маркова Река,basin
"134282948",,residential
"134283065",,residential
"134283066",Tudnik za travertin,quarry
"134283067",,residential
"134283068",Rudnik za travertin,quarry
"134283605",Воен Отпад,military
"134283609",MZ Dame Gruev,residential
"134283610",,residential
"161468292",Хиподром Волково,recreation_groun
"161469292",Kravarska farma,farmyard
"161478309",F-ka Galafarm,industrial
"161479491",,quarry
"161479492",Верина,residential
"161487987",База на Гранит,industrial
"161487992",,farmyard
"174336266",Расадник Бутел,orchard
"174348867",Свети Ѓорѓи,cemetery
"175280564",,construction
"175388835",,village_green
"175388840",,village_green
"175388841",,village_green
"175390992",,village_green
"175390996",,village_green
"175391002",,village_green
"175391003",,village_green
"175392083",,village_green
"175398191",,village_green
"175398192",,village_green
"175407547",,village_green
"175407552",,grass
"175407553",,village_green
"175407557",,village_green
"175407569",,village_green
"175407571",,village_green
"175407572",,village_green
"175416641",Расадник,farmland
"175424555",,village_green
"175463386",,industrial
"175463395",Пивара Скопје,industrial
"175463399",Алкалоид,industrial
"175463401",,industrial
"175463402",АД Европа,industrial
"175463415",Жито Лукс,industrial
"175463424",,industrial
"175463426",,industrial
"175478116",,village_green
"175478117",,village_green
"175518244",,military
"175528948",,village_green
"175889735",Топлификација,industrial
"175892379",,village_green
"175893149",,village_green
"175901834",,religious
"176040284",,construction
"176133889",,religious
"176159877",,village_green
"176159878",,construction
"176293215",Македонијалек,industrial
"176301664",Трговски Центар Бутел,retail
"176304637",,farmland
"176304640",,farmland
"176304645",,vineyard
"176306019",,vineyard
"176306020",,farmland
"176320639",Жито Лукс,industrial
"176324072",,village_green
"176329059",Паркови и зеленило Скопје,orchard
"176330134",,construction
"176358294",,village_green
"176473035",,village_green
"176481160",,village_green
"176505561",,village_green
"176516634",,brownfield
"176520346",,industrial
"176527553",,farmland
"176530000",,industrial
"176530005",,industrial
"176707487",,village_green
"176718389",,village_green
"177051787",,construction
"177401432",,village_green
"177401433",Гробишта Камник,cemetery
"177402819",,industrial
"177405818",,industrial
"177405969",,farmland
"177646818",,commercial
"177648900",Живинарска фарма Белимбег,farmland
"177697786",Охис,industrial
"177698329",Макпетрол склад Лисиче,industrial
"179093748",,industrial
"179484775",,industrial
"179484776",Санос,industrial
"179484777",,village_green
"179484778",Комуна,industrial
"179747894",,industrial
"179790323",Сеизмолошка Обсерваториј,observatory
"179935763",,farmland
"180730707",,cemetery
"182436638",,farmland
"182886292",Бањани,quarry
"184257169",Лептокарија,retail
"210228006",,farmland
"210228008",,farmland
"210228009",,farmland
"210228349",,farmland
"210228350",,farmland
"221618743",Универзал,industrial
"223517591",,village_green
"223539602",,farmland
"223539603",,meadow
"223542461",,farmland
"223554766",,orchard
"223554767",,orchard
"223554768",,orchard
"223554769",,orchard
"223555847",,farmland
"223555850",,farmland
"223557700",,farmland
"223557701",,farmland
"223558515",,industrial
"223558516",,meadow
"223558518",,meadow
