osm_id,name,type
"32303505",Парк Ѓорче Петров,park
"32463938",езеро Треска,water
"32464202",Езерце,water
"32464216",,water
"32490228",Парк Жена-борец,park
"32653265",,park
"32653396",,park
"32674538",,park
"32687896",,park
"32784404",Карпош,park
"32806575",,forest
"32806594",,forest
"32806615",,forest
"32912650",,park
"32983776",,forest
"33113733",,forest
"37997021",,park
"37997022",,park
"37998633",,forest
"38003188",,park
"38003191",,park
"39068302",,water
"39068303",,water
"39069854",,water
"42931262",,riverbank
"42931287",,riverbank
"42931459",,riverbank
"42931473",,riverbank
"42931891",,riverbank
"42933198",Кеј на реката Вардар,water
"129835232",,water
"129835233",,water
"147712082",Парк Јане Сандански,park
"174471991",,park
"174495075",,water
"175476254",Градски парк,park
"176520367",,water
"177207730",Паркот на авионот,park
"177319316",,forest
"177321905",,riverbank
"177321906",,riverbank
"177321907",,riverbank
"177321909",,riverbank
"177321911",,riverbank
"177646851",,water
"177692881",,park
"179846952",,forest
"179846953",,forest
"179846954",,forest
"179846959",,forest
"179846961",,forest
"179846963",,forest
"179846964",,forest
"179846965",,forest
"179846966",,forest
"179846967",,forest
"179846969",,forest
"183420535",,forest
"183422030",,forest
"183426016",,forest
"183454605",,forest
"183454607",,forest
"183454609",,forest
"183454610",,forest
"183454611",,forest
"187547581",,park
"191101772",,forest
"191101773",,forest
"202389900",,forest
"202787109",,forest
"202787113",,forest
"202787115",,forest
"202787116",,forest
"202787117",,forest
"202787118",,forest
"202787119",,forest
"202790306",,forest
"203231136",,forest
"203231138",,forest
"203231139",,forest
"203231140",,forest
"203231141",,forest
"203231142",,forest
"203231144",,forest
"203231146",,forest
"203231147",,forest
"203231149",,forest
"203231152",,forest
"203231153",,forest
"203231154",,forest
"203231155",,forest
"203231156",,forest
"203231157",,forest
"203231158",,forest
"203233573",,forest
"203331745",,forest
"203333443",,forest
"203333446",,forest
"203334209",,forest
"203334211",,forest
"203716835",,forest
"203716837",,forest
"203718915",,forest
"203718924",,forest
"203721097",,forest
"203721098",,forest
"203721099",,forest
"203721101",,forest
"203721102",,forest
"203721103",,forest
"203721104",,forest
"204101580",,forest
"204101581",,forest
"204101582",,forest
"204101583",,forest
"204101584",,forest
"204101585",,forest
"204101587",,forest
"204101588",,forest
"204101589",,forest
"204101590",,forest
"204101597",,forest
"204101598",,forest
"204101600",,forest
"204101601",,forest
"204103078",,forest
"204103083",,forest
"204103086",,forest
"204103087",,forest
"204103088",,forest
"204103089",,forest
