osm_id,name,ref,type,oneway,bridge,maxspeed
"16536306",Леблебиџиска,,pedestrian,"0","0",
"16536711",,,primary_link,"1","0","50"
"16536753",Булевар Илинден,,secondary,"1","0","50"
"16536771",Булевар Илинден,,secondary,"1","0","50"
"16537171",20ти Октомври,,residential,"0","0",
"16537262",Костурски Херои,,residential,"0","0",
"16538142",Народен Фронт,,tertiary,"0","0",
"16538360",Булевар Климент Охридски,,residential,"1","0","50"
"16538762",,,primary_link,"1","0","50"
"16538835",,,primary_link,"1","0","50"
"16538875",,,primary_link,"1","0","50"
"16538915",,,primary_link,"1","0","50"
"16539424",Булевар Кочо Рацин,,secondary,"1","0","50"
"16539497",Борка Талески-Модерното,,residential,"1","0",
"16539892",Рајко Жинзифов,,residential,"1","0",
"16539975",Коста Шахов,,residential,"0","0",
"16540252",,,living_street,"0","0",
"16540429",,,primary_link,"1","0",
"16540999",Самоилова,,tertiary,"0","0",
"16541423",Булевар Кузман Јосифовски,,secondary,"1","0","50"
"16541496",,,primary_link,"1","0","50"
"16542411",Никола Карев,,secondary,"0","0","50"
"16542436",,,secondary_link,"1","0",
"16543805",Киро Крстевски Платник,,residential,"1","0",
"16544312",Македонија,,unclassified,"0","0",
"16544337",,,pedestrian,"0","0",
"16544413",Никола Кљусев,,pedestrian,"0","0",
"16544466",,,primary_link,"1","0",
"16544758",Интернационални Бригади,,tertiary,"0","0",
"16545231",11 Октомври,,pedestrian,"0","0",
"16545293",Кеј 13 Ноември,,pedestrian,"0","0",
"16545708",Никола Вапцаров,,residential,"1","0",
"16545740",Никола Вапцаров,,pedestrian,"0","0",
"16546880",Лазар Личеноски,,tertiary,"0","0",
"16547352",Скупи,SK-03,secondary,"0","0","50"
"16548241",Иван Козаров,,residential,"1","0","40"
"16548296",,,residential,"0","0","50"
"16548543",Народни Херои,,secondary,"0","0","50"
"16552477",,,primary_link,"1","0",
"16657407",,,primary_link,"1","0",
"16657856",Војвода Васил Чакаларов,,secondary,"0","0","50"
"16657905",Војвода Васил Чакаларов,,secondary,"1","0","60"
"16657931",Војвода Васил Чакаларов,,secondary,"1","0","60"
"16658698",Булевар Партизански Одред,,primary,"1","0","50"
"16658755",Мост Обединети Нации,,primary,"1","1","50"
"16659345",Даме Груев,,secondary,"1","0","50"
"16659538",Васил Главинов,,primary,"0","0","40"
"16661206",Павел Шатев,,tertiary,"1","0","50"
"16661485",Булевар Мајка Тереза,,secondary,"1","0","50"
"16661493",Булевар Климент Охридски,,secondary,"1","0","40"
"16663099",Петар Поп Арсов,,residential,"0","0",
"16663674",Стефан Јакимов Дедов,,residential,"1","0",
"16663764",Никола Тримпаре,,residential,"1","0",
"16664228",Аминта Трети,,residential,"0","0","40"
"16664257",Аминта Трети,,residential,"0","0","40"
"16664455",Никола Тримпаре,,residential,"1","0",
"16664489",Мирослав Крлежа,,residential,"0","0",
"16665897",Ацо Караманов,,residential,"1","0",
"16666088",Георги Димитров,,residential,"0","0",
"16666103",Божидар Аџија,,residential,"1","0",
"16666151",Антон Попов,,secondary,"0","0",
"16666186",Павел Шатев,,tertiary,"0","0",
"16667270",Пролет,,tertiary,"0","0","40"
"16668115",Беласица,,secondary,"0","1","40"
"16668682",Булевар Гоце Делчев,,tertiary,"1","0","50"
"16669661",Булевар Цветан Димов,,primary,"0","0","50"
"16669663",Булевар Крсте Мисирков,,primary,"1","0","50"
"16669670",Булевар Крсте Мисирков,,primary,"1","0","50"
"16669688",Булевар Крсте Мисирков,,primary,"1","0","50"
"16669692",Булевар Крсте Мисирков,,primary,"1","1","50"
"16670096",,,primary_link,"1","0","50"
"16670303",,,primary_link,"1","0","50"
"16670329",,,primary_link,"1","0","50"
"16670414",Југославија / Никола Карев,SK-01,primary,"1","0","50"
"16670717",Југославија / Никола Карев,,primary,"1","0","50"
"16670882",Булевар Кузман Јосифовски,,secondary,"1","0","50"
"16671107",,,tertiary,"1","0","50"
"16671319",Фрањо Клуз,,tertiary,"0","0","50"
"16672122",,,primary_link,"1","0","50"
"22949252",,A4,motorway,"1","0",
"22949297",Југославија / Никола Карев,,primary,"1","0","50"
"22949311",,,motorway_link,"1","0",
"22949312",,,motorway_link,"1","0",
"22949325",,A4,motorway,"1","1",
"22949326",,A4,motorway,"1","0","120"
"22949336",Маџари,,secondary,"0","0",
"22949337",Маџари,,secondary,"0","0","40"
"22949341",Маџари,,secondary,"0","1",
"22949346",Едвард Кардељ / Александар,SK-01,secondary_link,"1","0",
"22949358",Едвард Кардељ / Александар,SK-01,secondary_link,"1","0",
"22949376",,,primary_link,"1","0",
"22949381",,,secondary_link,"1","0",
"22949402",Киро Глигоров,SK-02,primary,"1","1","60"
"22949449",Едвард Кардељ / Александар,SK-01,primary_link,"1","0","40"
"22949465",Киро Глигоров,SK-02,primary_link,"1","0","40"
"22949469",Киро Глигоров,SK-02,primary_link,"1","0","40"
"26251487",Орце Николов,,residential,"0","0","40"
"26251488",Никола Тесла,,tertiary,"1","0",
"26251539",Мајаковски,,residential,"1","0",
"26251540",Костурски Херои,,residential,"0","0",
"26251543",Благој Давков,,residential,"1","0",
"26251548",Радњанска,,residential,"0","0",
"26251550",,"487",service,"0","0",
"26392715",Осло,,residential,"0","0",
"26392805",Женевска,,residential,"0","0",
"26392912",Будимпештанска,,residential,"0","0",
"26392949",,,service,"0","0",
"26393176",Лондонска,,tertiary,"1","0","50"
"26393202",Варшавска,,tertiary,"0","0","30"
"26393207",Виенска,,residential,"0","0","30"
"26393237",Париска,,tertiary,"0","0","50"
"26715883",,,tertiary,"0","0",
"26715884",Улица 20,,tertiary,"0","0",
"26715885",,,tertiary,"0","1",
"26772749",,,motorway_link,"1","0",
"26772765",,,motorway_link,"1","0",
"26772766",,R1206,secondary,"0","0",
"26772772",,,motorway_link,"1","0",
"26772775",,,motorway_link,"1","0",
"26772783",Мајка Тереза,A2,motorway,"1","0","120"
"26772784",Мајка Тереза,A2,motorway,"1","1","100"
"26772786",Мајка Тереза,A2,motorway,"1","1","100"
"26791831",Софиска,"931",residential,"0","0",
"26791832",Копенхагенска,,residential,"0","0",
"26791834",Бриселска,,residential,"0","0",
"26791838",Гаврил Лесновски,,residential,"0","0",
"26791846",Ванчо Мицков,"921",residential,"1","0",
"26791850",Демир Трајко,,residential,"0","0",
"26791858",,,tertiary,"0","0",
"26791859",Хелсинки,,residential,"0","0",
"26791865",Манапо,,tertiary,"1","0","50"
"26791907",Бледски Договор,,tertiary,"0","0",
"26791908",Карпошево Востание,,tertiary,"1","0","30"
"26791917",Никола Русински,,tertiary,"1","0","30"
"26791927",Булевар Илинден,,secondary,"1","0","50"
"27594935",Атинска,,residential,"1","0",
"27594957",Алжирска,,service,"0","0",
"27800829",Џон Кенеди,,secondary,"0","0",
"27837313",Ванчо Мицков,,residential,"0","0",
"27837534",Ванчо Мицков,,residential,"0","0",
"27837536",Ванчо Мицков,,residential,"0","0",
"27837595",Ванчо Мицков,,residential,"0","0",
"27838081",,,footway,"0","0",
"27955300",Христо Татарчев 17,,residential,"0","0",
"27955314",Христо Татарчев,R2134,secondary,"0","0",
"28163464",Демир Трајко,,residential,"0","0",
"28163489",Демир Трајко,,pedestrian,"0","0",
"28212408",Волгоградска,,residential,"1","0","30"
"28212410",Вич,,residential,"0","0",
"28212426",Соле Стојчев,,residential,"1","0",
"28213323",,,service,"0","0",
"28213364",,,service,"1","0",
"28213519",Питу Гули,,residential,"0","0",
"28213597",Ганчо Хаџипанзов,"955",residential,"0","0",
"28213808",,,service,"0","0",
"28213946",Партениј Зографски,,residential,"1","0",
"28213952",Ацо Караманов,,residential,"0","0",
"28214212",,,footway,"0","0",
"28214779",Мирослав Крлежа,,residential,"1","0",
"28214784",,,footway,"0","0",
"28214865",Наум Наумовски Борче,,residential,"0","0","30"
"28214887",,,service,"0","0",
"28214896",,,service,"0","0",
"28215109",Вич,,residential,"0","0",
"28215157",Желево,,residential,"1","0","30"
"28217552",Козара,,residential,"1","0",
"28217777",Јуриј Гагарин,,service,"0","0",
"28217802",Козара,,residential,"1","0",
"28217850",,,residential,"0","0",
"28217870",,,residential,"0","0",
"28217914",Стокхолмска,,residential,"0","0",
"28217959",,,living_street,"0","0",
"28217980",Дамаска,,residential,"0","0","30"
"28217983",Дамаска,,residential,"0","0","30"
"28219897",,,footway,"0","0",
"28220632",Славеј Планина,,residential,"0","0",
"28220657",Самоилова,,residential,"0","0",
"28220706",Благоја Стефковски,,secondary,"1","0",
"28220731",Методија Андонов Ченто,R1102,secondary,"1","0",
"28220776",Перо Наков,,tertiary,"0","0",
"28220850",Париска Комуна,,residential,"0","0","30"
"28221299",Лазар Личеноски,,tertiary,"0","0",
"28221340",Македонско-Косовска Брига,,secondary,"0","0",
"28231677",Воденска,,residential,"1","0",
"28231706",Воденска,,service,"0","0",
"28231711",Невеска,,residential,"1","0",
"28231713",,,service,"0","0",
"28231714",,,service,"0","0",
"28231715",,,service,"0","0",
"28253020",,,service,"0","0",
"28262310",Мајка Тереза,A2,motorway,"1","0","100"
"28266739",,,service,"0","0",
