osm_id,name,type,width
"16543277",Вардар,river,
"17939882",Вардар,river,
"17953536",Вардар,river,
"17953630",Вардар,river,
"32464245",,ditch,
"32464278",,ditch,
"32464372",,ditch,
"32464379",,ditch,
"32464946",,ditch,
"32983849",Лепенец,river,
"40833980",,stream,
"40834124",,stream,
"40834373",,stream,
"40834374",,stream,
"42934378",Серава,river,
"46033085",Маркова Река,river,
"62305788",Серава,river,
"62305789",Серава,river,"1"
"161476139",,stream,
"161488784",Бањанска Река,river,
"161491034",Мирковичка Река,river,
"174371902",Жегровец,stream,
"175855103",,stream,
"188117817",Вражанска Река,river,
"190118602",Жегровец,stream,
"190118603",Жегровец,stream,
"190124154",Серава,river,"1"
"190124157",Жегровец,stream,
"190124160",Жегровец,stream,
"190124162",Серава,river,"1"
"190124163",Жегровец,stream,
"190124166",Жегровец,stream,
"190126533",Жегровец,stream,
"190126537",Жегровец,stream,
"224485077",,drain,
"229947911",Треска,river,
"230353656",Треска,river,
"230393778",Сува Река,river,
"230966886",Маркова Река,stream,
"231088858",Љубанска Река,river,
"231088870",Љуботенска Река,river,
"231089161",Побушка Река,river,
"231353212",,canal,
"231353221",,ditch,
"231353232",,canal,
"231353233",,ditch,
"231353235",,ditch,
"231354575",,stream,
"231360022",,drain,
"231360031",,ditch,
"231360034",,ditch,
"231360036",,ditch,
"231360038",,ditch,
"231360040",,stream,
"231360042",,ditch,
"231360085",,ditch,
"231363607",Ѓерен,ditch,
"231363610",,ditch,
"231670022",Булачанска Река,river,
"231670023",Булачанска Река,river,
"238296480",,drain,
"238296511",,drain,
"238296526",,drain,
"248490617",,ditch,
"248490701",,ditch,
"253312896",,ditch,
"253312897",,ditch,
"253329211",,ditch,
"354532179",,ditch,
"363752322",,ditch,
"363752323",,ditch,
"363752347",Серава,river,"1"
"363752348",Серава,river,"1"
"412445857",,ditch,
"420062229",,ditch,
"420064427",,ditch,
"420064428",,ditch,
"440170367",Серава,river,"1"
"440170369",Серава,river,"1"
"444727861",,drain,
"444727862",,drain,
"449232556",,stream,
"449232557",,stream,
"449232558",Лопотенец,stream,
"461934603",,stream,
"461934604",,stream,
"461934605",,stream,
"461934606",Муртинец,stream,
"461934607",,stream,
"476227743",,ditch,
"537926854",Св. Андреј,dam,
"537927602",Треска,river,
"537929189",,dam,
"599945472",Лепенец,river,
