osm_id,name,type,population
"170792214",Скопје,city,"668500"
"357897267",Железара,suburb,
"362122773",Влае,suburb,
"363578120",Ѓорче Петров,suburb,
"363579811",Хром,suburb,
"365294441",Карпош 4,suburb,
"365294488",Карпош 3,suburb,
"365294523",Тафталиџе 1,suburb,
"367044427",Долна Матка,village,
"367220118",Тафталиџе 2,suburb,
"367220375",Кисела Вода,suburb,
"367222080",Водно,suburb,
"367863447",Бутел 1,suburb,
"369397043",Автокоманда,suburb,
"369780919",Припор,suburb,
"369787629",Ченто,suburb,
"370514799",Гази Баба,suburb,
"371348947",Даме Груев,suburb,
"371349929",Волково,village,
"371855528",Арачиново,village,
"470409203",Визбегово,village,
"470409210",Ветерник,locality,
"470409274",Сарај,suburb,"25379"
"470409347",Љубин,village,"1230"
"470409455",Кондово,village,"11656"
"470409497",Долно Свиларе,village,
"470409501",Долно Нерези,suburb,
"470409512",Глумово,village,
"470409525",Грчец,village,"1315"
"470409537",Горно Оризари,village,
"470409563",Бардовци,village,
"470409913",Шуто Оризари,suburb,
"470410405",Зајчев Рид,locality,
"470410407",Злокуќани,suburb,
"470410412",Чешмички Рид,isolated_dwellin,
"470410416",Бадемче,locality,
"470410920",Момин Поток,locality,
"470411576",Трнодол,suburb,
"548688126",Средно Водно,suburb,
"552589115",Пинтија,suburb,
"690155619",Јурумлери,village,
"690155828",Гоце Делчев,suburb,
"690155943",Идризово,village,
"690155982",Илинден,village,
"690156998",Трубарево,village,
"696652095",Стајковци,village,
"696652747",Инџиково,suburb,
"696653105",Брњарци,village,
"1850647570",Радишани,suburb,
"1854501586",Глуво,village,
"1854501615",Бразда,village,
"1854520723",Булачани,village,
"1854520724",Страчинци,village,
"1854520726",Црешево,village,
"1854520728",Раштак,village,
"1854520729",Виниче,village,
"1864039826",Арнакија,village,
"1864079591",Горно Свиларе,village,
"1864402581",Грачани,hamlet,
"1870422369",Скупи,locality,
"1875330435",Матка,village,
"1875330438",Мојанци,hamlet,
"1898665777",Долно Лисиче,village,
"1910027074",Сопиште,village,
"1910027075",Горно Соње,village,
"1910027076",Чифлик,village,
"1910027079",Барово,village,
"1926155820",Карпош 1,suburb,
"1926166030",Карпош 2,suburb,
"1926184840",Козле,suburb,
"1926197124",Бутел 2,suburb,
"1927911988",Чаир,suburb,
"1928121264",Дексион,suburb,
"1928170534",Дуќанџик,suburb,
"1928177364",Жданец,suburb,
"1929225848",Капиштец,suburb,
"1929253980",Центар,suburb,
"1929289631",Ново Лисиче,suburb,
"1929313959",Јане Сандански,suburb,
"1929313961",Хиподром,suburb,
"1929334016",Маџари,suburb,
"1929344337",Маџир Маало,suburb,
"1929360427",Пржино,suburb,
"1929382156",Мичурин,suburb,
"1929418852",Острово,suburb,
"1929421823",Црниче,suburb,
"1929454146",11 Октомври,suburb,
"1929466507",Цветан Димов,suburb,
"1930376326",Крушопек,village,
"1930376387",Горно Нерези,village,
"1930376402",Горно Крушопек,hamlet,
"1930376418",Горни Грчец,hamlet,
"1930580300",Шишево,village,
"1936654838",Кучково,village,
"2016849719",Никиштане,village,
"2016948923",Усје,village,
"2105424417",Смилковци,village,
"-1963265670",Орман,village,
"-1916419517",Кисела Јабука,village,
"-1916415201",Ново Село,village,
"-1894674868",Радишани,village,
"-1411089403",Реонски Центар Аеродром,suburb,
"-1411089399",Аеродром,suburb,
"-1411089397",Горно Лисиче,suburb,
"-874670603",Топанско Поле,suburb,
"357546083",Depot Lisiče (MŽ),locality,
"383128589",Сингелиќ,suburb,
"777421407",Јане Сандански,suburb,
"1094532110",Серава,locality,
"1944594467",Дебар Маало,suburb,
"-1139338090",Чичино Село,suburb,
"-990782094",Колонија,village,
