osm_id,timestamp,name,type
"170637653",,,traffic_signals
"170640007",,,crossing
"170643837",,,crossing
"170654261",,,traffic_signals
"170654263",,,traffic_signals
"170654265",,,traffic_signals
"170662453",,,traffic_signals
"170668056",,,crossing
"170668064",,,traffic_signals
"170668068",,,traffic_signals
"170668079",,,crossing
"170674544",,,crossing
"170674547",,,traffic_signals
"170693690",,,crossing
"170694076",,,traffic_signals
"170694990",,,traffic_signals
"170702428",,,traffic_signals
"170711446",,,traffic_signals
"170714036",,,crossing
"170717588",,,traffic_signals
"170729731",,,crossing
"170735353",,,crossing
"170735368",,,traffic_signals
"170737064",,,traffic_signals
"170741251",,,traffic_signals
"170748343",,,traffic_signals
"170752543",,,traffic_signals
"170754816",,,traffic_signals
"170754823",,,traffic_signals
"170756628",,,traffic_signals
"172080789",,,traffic_signals
"172080842",,,traffic_signals
"172084461",,,traffic_signals
"172229917",,,crossing
"172229922",,,crossing
"172232891",,,traffic_signals
"172293481",,,crossing
"172293484",,,crossing
"172312987",,,crossing
"172313624",,,crossing
"172315698",,,traffic_signals
"172328316",,,crossing
"172328318",,,crossing
"172328320",,,traffic_signals
"172329064",,,crossing
"172329066",,,traffic_signals
"172348137",,Природонаучен Музеј,museum
"185479799",,Хиподром,motorway_junctio
"247268542",,,motorway_junctio
"247268796",,,surveillance
"247268993",,,surveillance
"247270016",,,traffic_signals
"287495938",,,crossing
"287495939",,,crossing
"287495950",,,crossing
"287496135",,,crossing
"287496137",,,crossing
"289140307",,,traffic_signals
"293005050",,ЈУРИЈА-КОН САРАЈ,bus_stop
"293005053",,ЃОРЧЕ ПЕТРОВ АДИНГ,bus_stop
"293005344",,,crossing
"293007104",,Ѓорче Петров,motorway_junctio
"293662123",,Треска,motorway_junctio
"293900366",,,crossing
"293900917",,,traffic_signals
"307971497",,,crossing
"309343402",,,traffic_signals
"309875534",,Ирски паб Св. Патрик,pub
"309894643",,Пелистер,restaurant
"309929943",,,crossing
"309957467",,,crossing
"309957613",,,crossing
"309958175",,,level_crossing
"310288757",,,amphitheatre
"310289760",,Броз Кафе,cafe
"310291064",,,marketplace
"310292917",,,crossing
"310347978",,Македонска Пошта,post_office
"310347997",,Македонска Пошта,post_office
"310348048",,Лап Лап,fast_food
"310348362",,Македонска Пошта,post_office
"310348494",,Стопанска Банка,atm
"311148666",,,crossing
"321408229",,Стенковец,motorway_junctio
"321517761",,,traffic_signals
"321517799",,,traffic_signals
"321521943",,,traffic_signals
"321521960",,,traffic_signals
"321524602",,,traffic_signals
"321524645",,,traffic_signals
"330282562",,,crossing
"330380719",,,surveillance
"355804967",,,traffic_signals
"357455877",,,crossing
"364055426",,Лукоил,fuel
"364982826",,Сарај,halt
"365240253",,Македонска Пошта,post_office
"365818783",,,crossing
"365832510",,кино Милениум,cinema
"365839893",,,parking
"365840193",,Видиковец - Водно,viewpoint
"365840363",,Хотел Водно,hotel
"366205007",,,crossing
"366211152",,,crossing
"366219325",,,crossing
"366291353",,,crossing
"366291357",,,traffic_signals
"366655268",,,traffic_signals
"367045844",,,fuel
"367156324",,,crossing
"367156325",,,crossing
"367156814",,,crossing
"367614267",,Видиковец „Скопско кале“,viewpoint
"367670314",,,crossing
"367675829",,Ремедиум,pharmacy
"367680301",,Стенковец,motorway_junctio
"367853384",,,monument
"367860262",,Гоце Делчев,monument
"367860771",,,crossing
"367928465",,,crossing
"368254213",,,traffic_signals
"368255780",,,crossing
"368257707",,,traffic_signals
"368257774",,,traffic_signals
"369317059",,,crossing
"369674608",,,crossing
